000931504	*	de	de	014809100	gw 	eng			Dickens, Charles, 1812-1870		The Cricket on the Hearth ... Für die oberen Klassen höherer Schulanstalten und den Selbstunterricht bearbeitet und erläutert von H. A. Werner. Eng. [electronic resource]		Hamburg : Otto Meissner, 1872			WERNER, H. A.		lsidyv32ce32aa
001004241	*	fr	fr	014809561	|||	eng			DUMONT, P.		Monte-Carlo. Le Prince rouge et noir (Albert Honoré Charles, Prince de Monaco) et sa cour. Nouvelle édition. [electronic resource]		Paris, [1892]					lsidyv3c031171
001109407	*	en	en	014810104	|||	ger					[Catalogue of the published Maps, Sections, Memoirs, and other publications of the Geological Survey ... up to October, 1867.] [electronic resource]	[Another edition.] Up to July 1st, 1870.	London : Stationery Office, 1870.		Geological Survey of the United Kingdom.			lsidyv30694ba3
001190358	*	de	de	014810305	|||	fre			FABRICIUS, Wilhelm, of Strasburg.		Theophanes von Mytilene und Quintus Dellius als Quellen der Geographie des Strabon. Inaugural-Dissertation zur Erlangung der philosophischen Doktorwürde, etc. [electronic resource]		Strassburg, 1888.		Strabo.	DELLIUS, Quintus. -- THEOPHANES, Cneius Pompeius, of Mytilene.		lsidyv3cb2f228
001577126	*	de	de	014812584	|||	eng				Norddeutsche Seewarte (HAMBURG)	Segelhandbuch der französischen Westküste. Herausgegeben von der Direktion. [electronic resource]		Hamburg, 1894.					lsidyv390d9311
001685834	*	de	de	014813343	|||	eng			Hillebrand, Karl, 1829-1884.		Italia. [A collection of essays by various authors on the history, literature, politics, industry, etc. of Italy.]. Herausgegeben von K. H. [electronic resource]		Leipzig, [1874-77]					lsidyv3bf05ed3
001760188	*	unk	unk	014813917	|||	eng			Hughes, T. S. (Thomas Smart), 1786-1847.		[Travels in Sicily, Greece, and Albania] [electronic resource].	[Another edition.] Travels in Greece and Albania. Second edition. With ... additions.	London, 1830.					lsidyv3bbb5225 -- lsidyv3bba9ad2
001893413	*	cy	cy	014814706	|||	eng			JONES, Daniel E., of Llandyssul.		Hanes plwyfi Llangeler a Phenboyr; traethawd buddugol yn Eisteddfod Drefach-a-Felindre, Awst 18, 1897, etc. [electronic resource]		Llandyssul : J. D. Lewis, 1899.					lsidyv2b37a5ec
002294150	*	en	en	014817679	|||	ger			LYNCH, William F., Lieut. United States Navy.		[Narrative of the United States' Expedition to the River Jordan and the Dead Sea.] [electronic resource]	Second edition, revised.	London : R. Bentley, 1850.					lsidyv3cc86340
002708352	*	en	en	014819170	|||	fre			Miller, Hugh, 1802-1856.		Edinburgh and its neighbourhood, geologial and historical. With the geology of the Bass Rock. [Edited by Mrs. Miller.] [electronic resource]		Edinburgh, 1864.					lsidyv2b5ac324
003996026	*	en	en	014824940	|||	ita			YATES, William Holt.		The modern History and Condition of Egypt, its climate, diseases, and capabilities, etc., exhibited in a personal narrative of travels in that country. [electronic resource]		London, 1843.					lsidyv3bd6ca47 -- lsidyv313f96fd
002556066	*	cy	cy	014825979	|||	eng			MORRIS, Robert Prys.		Cantref Meirionydd: ei chwedlau, ei hynafiaethau, a'i hanes. [electronic resource]		Dolgellau : E. W. Evans, 1890.					lsidyv2b376326
002815953	*	cy	cy	014827211	|||	eng			Pennant, Thomas, 1726-1798.		Teithiau yn Nghymru; ref, Cyfieithiad o'r “Tours in Wales” ... Ynghyda chyfieithiad o'r nodiadau a'r rhagymadrodd, yn yr argraffiad Seisoneg diweddaf. Gan ... John Rhys ... Hefyd, nodiadau, hanes bywyd yr awdwr, a rhagarweiniad i hanes y llwythau gan W. Trevor Parkins. [With plates, including a portrait.] [electronic resource]		Caernarfon : H. Humphreys, [1883]			PARKINS, William Trevor. -- RHYS, John, Right Hon. Sir, Principal of Jesus College, Oxford.		lsidyv3c3880e7
003454121	*	es	es	014829914	|||	eng				SPAIN. Ministerio de Comercio, Instruccion y Obras Publicas. Comisión Especial de Faros.	Plan General para el Alumbrado Marítimo de las Costas y Puertos de España é islas adyacentes, propuesto por la Comision especial de Faros, etc. [With a map.] [electronic resource]		Madrid, 1847.					lsidyv3c51c635
003508737	*	en	en	014830234	|||	swe				Järnkontoret (STOCKHOLM)	[Supplementary plates and tables.] [electronic resource]		Stockholm, 1825-36.					lsidyv3cb7b0e4
003480813	*	en	en	014831602	|||	dut			WALLACE, William, Geologist.		The laws which regulate the disposition of Lead Ore in Veins; illustrated by an examination of the geological structure of the mining districts of Alston Moor. [With a map and plates.] [electronic resource]		London, 1861.					lsidyv306856f0
003903527	*	fr	fr	014831990	|||	eng					En Wherry. Trois semaines dans les Broads du Norfolk. ([By] Trois étoiles ***.) [By Maurice and Béatrice Borel.] Avec cinq héliogravures et une carte. [electronic resource]		Paris, 1892.			BOREL, Béatrice. -- BOREL, Maurice, and BOREL (Béatrice)		lsidyv3c12671d
000122281	*	fr	fr	014839268	|||	eng			ARRIANUS, Flavius.		Le Périple de la Mer Noire ... Traduction, étude historique et géographique, index et carte par Henry Chotard. [electronic resource]		Paris, 1860.			CHOTARD, Henry.		lsidyv35948719
000247936	*	da	da	014839358	|||	ger			BEDER, P.		Reiseerindringer fra et Besøg i Amerika. [electronic resource]		Kjøbenhavn, 1877.					lsidyv35825431
000384618	*	es	es	014839421	|||	fre			BOADA Y ROMEU, José.		Allende el Estrecho. Viajes por Marruecos. La campaña de Melilla. La embrajada del General Martinez Campos à Marrakeix. Impresiones y recuerdos, etc. [electronic resource]		Barcelona, 1895.					lsidyv3507bc90
000622454	*	pt	pt	014839570	|||	spa			CARVALHO E MENEZES, Joaquim Antonio de.		Memoria geografica e politica das possessões portuguezas n'Affrica occidental, que diz respeito aos reinos de Angola, Benguela, e suas dependencias: origem de sua decadencia ... e os meios que se devem applicar para o seu melhoramento, etc. [electronic resource]		Lisboa, 1834.					lsidyv35b58197
