Print ID	Scan ID	DOM ID	ARK
002644451	014602916	lsidyv2eb22abc	ark:/81055/vdc_00000002816A
002788005	014602917	lsidyv2eb22b19	ark:/81055/vdc_000000028170
002793521	014602918	lsidyv2eb23f75	ark:/81055/vdc_0000000281C4
003009568	014602919	lsidyv2eb24df6	ark:/81055/vdc_0000000281EE
003055095	014602920	lsidyv2eb24937	ark:/81055/vdc_0000000281E8
003135939	014602921	lsidyv2eb1e3af	ark:/81055/vdc_000000028098
003164230	014602922	lsidyv2eb1e424	ark:/81055/vdc_00000002809E
003192008	014602923	lsidyv2eb24184	ark:/81055/vdc_0000000281D0
003212408	014602924	lsidyv2eb2326e	ark:/81055/vdc_00000002818E
003213375	014602925	lsidyv2eb21db8	ark:/81055/vdc_000000028146
003275369	014602926	lsidyv2eb1e603	ark:/81055/vdc_0000000280B6
003320840	014602927	lsidyv2eb247ff	ark:/81055/vdc_0000000281E2
003373086	014602928	lsidyv2eb22b9d	ark:/81055/vdc_000000028176
003545329	014602929	lsidyv2eb23309	ark:/81055/vdc_000000028194
003598956	014602930	lsidyv2eb2567c	ark:/81055/vdc_00000002820C
003626637	014602931	lsidyv2eb1e2fc	ark:/81055/vdc_00000002808C
003865889	014602932	lsidyv2eb22c8c	ark:/81055/vdc_00000002817C
003920816	014602933	lsidyv2eb23b69	ark:/81055/vdc_0000000281A6
003929451	014602934	lsidyv2eb25875	ark:/81055/vdc_000000028224
003937111	014602935	lsidyv2eb1e4f5	ark:/81055/vdc_0000000280A4
003937112	014602936	lsidyv2eb21cd0	ark:/81055/vdc_00000002813A
003937115	014602937	lsidyv2eb1e52e	ark:/81055/vdc_0000000280AA
003938991	014602938	lsidyv2eb2514e	ark:/81055/vdc_000000028200
000029008	014602941	lsidyv2eb2ff5d	ark:/81055/vdc_0000000283A4
000123450	014602942	lsidyv2eb2ba25	ark:/81055/vdc_00000002832C
000216231	014602943	lsidyv2eb2e82a	ark:/81055/vdc_000000028368
000278112	014602944	lsidyv2eb26b22	ark:/81055/vdc_000000028260
000511624	014602945	lsidyv2eb26e9d	ark:/81055/vdc_000000028278
000610007	014602946	lsidyv2eb30760	ark:/81055/vdc_0000000283C2
000700860	014602947	lsidyv2eb264f6	ark:/81055/vdc_00000002824E
000701032	014602948	lsidyv2eb2b534	ark:/81055/vdc_000000028302
000789545	014602949	lsidyv2eb2f0fa	ark:/81055/vdc_000000028386
000811442	014602950	lsidyv2eb2e5d1	ark:/81055/vdc_000000028350
001044505	014602951	lsidyv2eb31806	ark:/81055/vdc_0000000283E0
001153987	014602952	lsidyv2eb2b5b5	ark:/81055/vdc_000000028308
001165399	014602953	lsidyv2eb269ac,lsidyv3ad3da71	ark:/81055/vdc_000000028254,ark:/81055/vdc_000000048D1A
001242475	014602954	lsidyv2eb2f9db	ark:/81055/vdc_00000002839E
001244312	014602955	lsidyv2eb2b2d9	ark:/81055/vdc_0000000282EA
001345330	014602956	lsidyv3b98d2ea,lsidyv2eb26ba6	ark:/81055/vdc_000000052296,ark:/81055/vdc_000000028266
001494664	014602957	lsidyv2eb2b0be	ark:/81055/vdc_0000000282D8
001560233	014602958	lsidyv2eb3129c	ark:/81055/vdc_0000000283D4
001596461	014602959	lsidyv2eb27209	ark:/81055/vdc_000000028284
001715418	014602960	lsidyv2eb26a99	ark:/81055/vdc_00000002825A
001733809	014602961	lsidyv2eb2b64e	ark:/81055/vdc_00000002830E
001763380	014602962	lsidyv2eb27af9	ark:/81055/vdc_000000028290
001908801	014602963	lsidyv2eb2a6f9	ark:/81055/vdc_0000000282C0
002049130	014602964	lsidyv2eb2eb05	ark:/81055/vdc_00000002837A
002097196	014602965	lsidyv2eb30487	ark:/81055/vdc_0000000283B6
002251411	014602966	lsidyv2eb25f39	ark:/81055/vdc_00000002823C
002266578	014602967	lsidyv2eb2e720	ark:/81055/vdc_000000028362
002297003	014602968	lsidyv2eb31895	ark:/81055/vdc_0000000283E6
002336828	014602969	lsidyv2eb26e0b	ark:/81055/vdc_000000028272
002371862	014602970	lsidyv2eb2b4d6	ark:/81055/vdc_0000000282FC
002434265	014602971	lsidyv2eb2a793	ark:/81055/vdc_0000000282C6
002514717	014602972	lsidyv2eb2b217	ark:/81055/vdc_0000000282E4
002571306	014602973	lsidyv2eb27fdb	ark:/81055/vdc_000000028296
002605544	014602974	lsidyv2eb291e2	ark:/81055/vdc_0000000282A8
002616496	014602975	lsidyv2eb2e4bf	ark:/81055/vdc_00000002834A
002690394	014602976	lsidyv2eb2ac38	ark:/81055/vdc_0000000282CC
002693222	014602977	lsidyv2eb2e69e	ark:/81055/vdc_00000002835C
002743449	014602978	lsidyv2eb2e64b	ark:/81055/vdc_000000028356
002895827	014602979	lsidyv2eb319dc	ark:/81055/vdc_0000000283F8
002941419	014602980	lsidyv2eb25fc8	ark:/81055/vdc_000000028242
003040987	014602981	lsidyv2eb2b970	ark:/81055/vdc_000000028320
003091221	014602982	lsidyv2ebb4059,lsidyv2eb3173a	ark:/81055/vdc_00000002900A,ark:/81055/vdc_0000000283DA
003210983	014602983	lsidyv2eb2b344	ark:/81055/vdc_0000000282F0
003409983	014602984	lsidyv2eb2b170	ark:/81055/vdc_0000000282DE
003441427	014602985	lsidyv2eb292c3	ark:/81055/vdc_0000000282AE
003441434	014602986	lsidyv2eb29405	ark:/81055/vdc_0000000282B4
003482434	014602987	lsidyv2eb2b90e	ark:/81055/vdc_00000002831A
003543475	014602988	lsidyv2eb2ea53	ark:/81055/vdc_000000028374
003568537	014602989	lsidyv2eb2ac84	ark:/81055/vdc_0000000282D2
003639965	014602990	lsidyv2eb2b9c3	ark:/81055/vdc_000000028326
003894576	014602991	lsidyv2eb2805c	ark:/81055/vdc_00000002829C
003929761	014602992	lsidyv2eb2608d	ark:/81055/vdc_000000028248
000057078	014602997	lsidyv2eb39247	ark:/81055/vdc_000000028542
000101705	014602998	lsidyv2eb35962	ark:/81055/vdc_0000000284E8
000267451	014602999	lsidyv2eb393f4	ark:/81055/vdc_00000002854E
000536623	014603000	lsidyv2eb35d92	ark:/81055/vdc_0000000284FA
000560451	014603001	lsidyv2eb3398b	ark:/81055/vdc_00000002843A
000667564	014603002	lsidyv2eb332a6	ark:/81055/vdc_000000028422
000726537	014603003	lsidyv2eb351e3	ark:/81055/vdc_0000000284C4
000750543	014603004	lsidyv2eb34d61	ark:/81055/vdc_0000000284AC
000849059	014603005	lsidyv2eb34acd	ark:/81055/vdc_00000002848E
000878183	014603006	lsidyv2af4bc75,lsidyv2eb38d50	ark:/81055/vdc_0000000427A4,ark:/81055/vdc_00000002853C
000882510	014603007	lsidyv2eb352d2	ark:/81055/vdc_0000000284CA
000929399	014603008	lsidyv2eb388b3	ark:/81055/vdc_000000028530
000984306	014603009	lsidyv2eb34074	ark:/81055/vdc_000000028452
001177547	014603010	lsidyv2eb31a0a	ark:/81055/vdc_0000000283FE
001243107	014603011	lsidyv2eb36343	ark:/81055/vdc_000000028512
001281012	014603012	lsidyv2eb34c7e	ark:/81055/vdc_0000000284A6
001474685	014603013	lsidyv2eb3194e	ark:/81055/vdc_0000000283EC
001525073	014603014	lsidyv2eb34790	ark:/81055/vdc_000000028476
001564773	014603015	lsidyv2eb36302	ark:/81055/vdc_00000002850C
001574582	014603016	lsidyv2eb34b7e	ark:/81055/vdc_00000002849A
001614775	014603017	lsidyv2eb35911	ark:/81055/vdc_0000000284E2
001878551	014603018	lsidyv2eb34b36	ark:/81055/vdc_000000028494
001881952	014603019	lsidyv2eb3625e	ark:/81055/vdc_000000028500
001889798	014603020	lsidyv2eb340e2	ark:/81055/vdc_000000028458
001889801	014603021	lsidyv2eb3419f	ark:/81055/vdc_00000002845E
001908824	014603022	lsidyv2eb39853	ark:/81055/vdc_000000028554
002048932	014603023	lsidyv2eb34ebd	ark:/81055/vdc_0000000284B2
002131842	014603024	lsidyv2eb33f4b	ark:/81055/vdc_00000002844C
002177971	014603025	lsidyv2eb31987	ark:/81055/vdc_0000000283F2
002212229	014603026	lsidyv2eb345c3	ark:/81055/vdc_000000028470
002251824	014603027	lsidyv2eb31a63	ark:/81055/vdc_000000028404
002508981	014603028	lsidyv2eb342b8	ark:/81055/vdc_000000028464
002527396	014603029	lsidyv2eb35cf1	ark:/81055/vdc_0000000284F4
002673825	014603030	lsidyv2eb35840,lsidyv33542395	ark:/81055/vdc_0000000284DC,ark:/81055/vdc_00000002B2EA
002740179	014603031	lsidyv2eb35b7e	ark:/81055/vdc_0000000284EE
002746903	014603032	lsidyv2eb35367	ark:/81055/vdc_0000000284D0
002906290	014603033	lsidyv2eb35042	ark:/81055/vdc_0000000284B8
002919313	014603034	lsidyv2eb34a20	ark:/81055/vdc_000000028488
002970010	014603035	lsidyv2eb34991	ark:/81055/vdc_000000028482
003036843	014603036	lsidyv2eb362b1	ark:/81055/vdc_000000028506
003319692	014603037	lsidyv2eb324c3	ark:/81055/vdc_000000028416
003424486	014603038	lsidyv2eb3337b	ark:/81055/vdc_000000028428
003477622	014603039	lsidyv2eb39df9	ark:/81055/vdc_000000028566
003745155	014603040	lsidyv2eb36ef6	ark:/81055/vdc_00000002851E
